Word,E[I]
crone,5.179547735276025
carol,5.179022454912579
metal,5.1783192262496875
anode,5.177105953547278
terse,5.176234415288005
mouse,5.174987705703847
prone,5.173980530028141
outer,5.172768768357365
payer,5.170896897027128
sleet,5.170060007029538
harem,5.168156723274985
cedar,5.165929255562773
shard,5.165045532058799
sandy,5.164872358408541
water,5.164126949300566
boast,5.163425198444919
sport,5.163032294362185
regal,5.162946138768692
scant,5.161239178505937
short,5.1611513844748425
mason,5.161060589980795
tilde,5.160846748527207
coral,5.160123255120946
style,5.159063598056813
polar,5.157844762635416
artsy,5.157396255936371
trash,5.157014003000378
tapir,5.156941791759293
spray,5.155561183248944
sugar,5.15183076392748
cleat,5.15178467997182
basil,5.150482488836899
heard,5.150361086464034
miner,5.15012846341284
reset,5.1484274718472465
pleat,5.147583324957475
solve,5.147056611123438
rainy,5.146987482081142
dance,5.145601388603428
cairn,5.1449002501836265
wiser,5.14428366678625
phase,5.1409673875280015
molar,5.140469916559585
savor,5.139647190137231
taken,5.139477744574226
motel,5.139073313833076
daisy,5.137401546438447
moral,5.137089703882564
goner,5.136697632902346
drain,5.135408072919398
delay,5.135017064684479
spent,5.132956015241115
amuse,5.1315500488756625
beard,5.130869366165675
story,5.128645474315322
sonic,5.1276743279919765
inter,5.125108192353299
remit,5.124607868738628
unset,5.124274805886638
matey,5.123670388393867
haute,5.123267037571969
urine,5.122900255514147
shirt,5.122567602075332
scope,5.121299395521463
chase,5.120264872794183
alike,5.119773274283707
nadir,5.1185314057143305
scent,5.1182663531583925
ripen,5.115335202602116
anime,5.111385196294013
stark,5.111379656278034
camel,5.110649567972782
older,5.107569981547607
spice,5.106747327548032
sneer,5.10672432734319
house,5.10539579106176
nasty,5.104549159858425
grade,5.1041765712657075
manor,5.102549076289743
swine,5.101641157427308
cried,5.10090663457727
steer,5.100883754179365
chaos,5.100765755591675
inlet,5.099017878200472
spoil,5.098813194590265
drake,5.098328244556438
basin,5.0979525357265345
cameo,5.095876451062857
tiger,5.095807115984775
gamer,5.095681129359067
ashen,5.0955668277152295
stave,5.094984108264754
setup,5.093561514130174
pried,5.09306174779858
agile,5.0909835406187955
posit,5.090730514243708
scary,5.088785906184382
snout,5.0886803318026095
repay,5.088052768936008
sound,5.085640249848198
metro,5.085188234969357
taste,5.0850917395623405
dairy,5.0849487900714685
maple,5.084763489820648
spree,5.0844519152640775
feral,5.083971998958201
copse,5.080541591057522
anger,5.079271492041868
pulse,5.077963670938146
moist,5.076686632097212
suave,5.076684525701987
clean,5.07625978667036
barge,5.075766556888961
tribe,5.075185145124792
hotel,5.073365611872752
forte,5.0726950071058745
flare,5.0718782511651135
scald,5.070433559076316
eater,5.069722414501311
scree,5.0685042738884984
shorn,5.067759321758587
gayer,5.0659550902328565
horde,5.064621366957187
debar,5.06379546088357
nicer,5.061765013632895
scram,5.0604649591109805
scorn,5.060392900776245
mealy,5.059951139694605
slang,5.059589304433695
heron,5.059499173727339
oaken,5.05941942099711
scrap,5.058568555640212
dream,5.0582759114716564
opera,5.05714318208551
state,5.056772671822201
relic,5.054644449487871
speak,5.05311469565161
sloth,5.0529414704008735
strip,5.050852330728862
meaty,5.046529182234053
brine,5.043049423307451
surly,5.0429033071149805
bread,5.0422048559456165
afire,5.04205966274797
clone,5.041621453197877
cease,5.040934942747785
media,5.040325174927051
storm,5.039970181151734
paint,5.03929041658606
raspy,5.039103051840034
marsh,5.038385855700124
bleat,5.036457102700581
baron,5.036205512621806
trend,5.036182629606603
