Word,E[I]
ripes,5.616835585151808
lakes,5.616210557867361
trois,5.615627892380967
nelis,5.615436748086174
geals,5.613201534798147
heats,5.610412518631417
lased,5.609876271643912
terai,5.6092121302588795
beals,5.608724215306946
dalis,5.608160839518158
noels,5.6079941368320005
carts,5.607757842067708
potes,5.607696185144223
dames,5.607563971127705
sable,5.606219059756967
riads,5.606192912232524
cotes,5.605327939298913
tomes,5.605297471915811
auris,5.6049422222813305
natis,5.604823854232981
tules,5.604396720823675
paise,5.602814078537714
rotis,5.602621401337675
redos,5.602600893044636
piles,5.601100302721719
sayne,5.600909944569085
trios,5.60066841592644
parts,5.600154193283354
pones,5.598767840002965
cones,5.598587555209621
lards,5.598368354221198
reist,5.5980755134540505
cades,5.598058549646048
deils,5.597969052012666
tared,5.596511480225255
lants,5.594603823997965
haets,5.594470345737791
daces,5.59370298947613
baels,5.593462579468833
sider,5.593253510019717
segar,5.593013166131594
geats,5.592585047005154
motes,5.592456512003614
liens,5.591692704162078
lomes,5.5914627269495245
slart,5.590742317706576
topes,5.590687239423318
miles,5.589332696038469
beats,5.589319390708669
rheas,5.589315571840357
maise,5.589005665788093
dites,5.588126044840573
santo,5.587694887795759
derns,5.5872196734402095
robes,5.587157447239788
carls,5.5863619910705
tides,5.58553354932351
solde,5.585235780118007
bries,5.585159125926611
dines,5.584838904723518
marts,5.584239782507234
solan,5.58393864845224
moers,5.583441828296396
iotas,5.583065318688953
siled,5.582876554311295
resit,5.5826420281495395
tarsi,5.582422229479642
rohes,5.582083166240628
pleas,5.581892546284906
selah,5.579309610167731
oater,5.57929333987943
delis,5.578766423394805
lopes,5.578527840890286
certs,5.577728657165038
roins,5.577307682130736
delos,5.576831019817355
ramis,5.576638056381166
rhies,5.576116498509441
noser,5.575812556323494
doats,5.575420231127958
surat,5.5752761763268825
plies,5.5748331423818795
perts,5.574162874169881
sient,5.5738056559456455
stela,5.571922815104716
spale,5.571894325055979
haros,5.571818818811722
ratus,5.571484136017578
holes,5.571073059309697
sorda,5.57094950323734
spate,5.570864111654109
heros,5.570034905541622
toils,5.569364235471948
noris,5.569325952226358
stile,5.568877508622158
orate,5.568696143567077
tarps,5.5686463453984
aster,5.568554848725587
garis,5.568290295923168
vares,5.5670490690286485
dorse,5.566298419739896
wales,5.566224601796434
clies,5.566098490407539
horas,5.565635383208974
arsey,5.565485114062622
ursae,5.565124997643054
marls,5.5646686290839895
rauns,5.5642886294836496
prase,5.56361132260043
proas,5.563376444257378
stria,5.563147332235312
nabes,5.5628950538908155
seton,5.562380161284866
laids,5.561239962864229
caret,5.561198144228162
dures,5.560542662306103
roams,5.559568533240103
crias,5.559152976849654
cames,5.558438683706558
stean,5.558423387643882
sepal,5.558207147004331
goles,5.557954638166357
getas,5.556264235258182
boles,5.55617490055941
tyres,5.555636204067423
dials,5.555031524565522
hairs,5.554883033763207
betas,5.554752113425452
merls,5.553039686479106
seare,5.5522165353171316
tunes,5.552156975935197
acnes,5.551931712215286
senti,5.551439313323113
anise,5.550188389438792
altos,5.549975075282422
praos,5.549824548204641
apers,5.549025265400311
pails,5.548298332762683
times,5.5480970432900225
carte,5.547524418840671
drats,5.54730116669843
genas,5.547220158114206
teaks,5.547205858543762
goras,5.546121451243019
toads,5.545911636923274
carns,5.545732181802561
sawer,5.545253454435973
paces,5.545228075267235
aired,5.545176461847936
tirls,5.544995737088865
piers,5.544469799244227
neaps,5.544347343401901
doris,5.544270570843901
abies,5.5439161706998
paire,5.543850694615134
paseo,5.543610876526652
yeans,5.543088024698778
